商圈分组,品类,总SKU数,最小SKU,最大SKU,当前范围,推荐范围
旅游区,文具用品,30,1,27,1-27,1-5
办公区,宠物产品,21,1,21,0-21,0-10
文教区,槟榔,34,4,34,0-34,0-33
工业区,坚果炒货,91,5,90,0-89,0-76
商业区,碳酸饮料,103,7,87,0-83,0-81
旅游区,烘焙糕点,66,31,43,30-42,10-33
旅游区,饼干,133,28,92,28-92,23-49
商业区,口腔护理,78,1,66,0-65,0-63
住宅区,休闲肉脯,121,2,112,0-111,0-82
其他,糖果&巧克力,273,9,240,0-191,0-143
商业区,果干蜜饯,92,1,75,0-75,0-56
医院区,生活用纸,58,2,45,0-42,0-30
科教区,休闲肉脯,121,6,99,6-92,6-65
办公区,啤酒／预调酒,122,2,104,0-101,0-85
旅游区,个人护理,68,1,43,1-43,0-14
医院区,常温乳制品,92,22,72,0-67,0-61
交通枢纽,生活用纸,57,2,34,0-33,0-25
旅游区,雪糕,75,13,47,13-47,13-37
商业区,药品&医护,7,1,4,0-4,0-4
娱乐区,冷藏品,76,1,76,0-75,0-63
市场区,餐厨用品,53,1,46,0-46,0-27
娱乐区,熟食&饮品,85,1,55,0-50,0-37
娱乐区,玩具,63,1,48,0-46,0-24
办公区,香烟,825,2,308,0-299,0-276
住宅区,果汁,62,1,58,0-57,0-53
旅游区,休闲肉脯,89,11,62,11-62,11-34
办公区,熟食&饮品,87,1,66,0-64,0-45
文教区,其它饮品,32,3,32,0-32,0-31
工业区,定量小包装,266,21,252,0-251,0-227
商业区,生鲜&水果,4,1,4,0-4,0-4
旅游区,酒类,92,8,66,8-66,1-32
文教区,卫生用品,83,15,81,0-81,0-73
其他,药品&医护,6,1,4,0-4,0-3
住宅区,口腔护理,78,1,74,0-70,0-53
工业区,个人护理,199,1,145,0-143,0-102
市场区,粮油,103,1,75,0-68,0-40
科教区,功能饮料,110,27,81,27-80,17-69
娱乐区,计生情趣,62,1,58,0-56,0-39
商业区,生活用纸,58,2,41,0-39,0-36
医院区,熟食&饮品,83,1,40,0-39,0-28
旅游区,冲调品,46,1,36,1-31,0-11
医院区,卫生用品,83,6,78,0-76,0-64
科教区,玩具,46,2,18,2-17,1-7
医院区,香烟,747,2,286,0-259,0-224
医院区,水,54,15,44,0-43,0-42
办公区,果汁,62,15,52,0-51,0-47
旅游区,香烟,170,17,129,17-129,7-121
市场区,果干蜜饯,92,2,72,0-69,0-56
旅游区,卫生用品,67,6,62,6-62,4-19
娱乐区,休闲肉脯,121,11,99,0-92,0-66
医院区,啤酒／预调酒,122,5,102,0-100,0-79
办公区,休闲肉脯,121,13,104,0-98,0-72
文教区,休闲素食,92,10,83,0-82,0-77
科教区,保鲜鲜食,28,1,21,1-12,0-6
旅游区,膨化食品,84,33,70,33-70,25-52
市场区,方便食品,170,3,152,0-145,0-127
办公区,饼干,161,13,151,0-150,0-110
交通枢纽,药品&医护,6,1,3,0-3,0-2
办公区,数码电器,48,2,42,0-37,0-23
交通枢纽,膨化食品,89,18,85,0-84,0-71
文教区,坚果炒货,91,19,83,0-82,0-55
文教区,啤酒／预调酒,122,5,108,0-107,0-84
其他,香烟,750,1,314,0-311,0-279
医院区,冷冻食品,49,1,28,0-22,0-12
其他,方便食品,170,4,142,0-142,0-128
交通枢纽,功能饮料,112,25,101,0-100,0-95
娱乐区,数码电器,48,1,39,0-37,0-25
其他,冲调品,71,1,55,0-52,0-34
其他,冷藏品,76,1,75,0-75,0-74
科教区,水,47,12,41,12-39,7-33
市场区,水,54,4,49,0-48,0-45
商业区,果汁,62,9,55,0-55,0-52
医院区,药品&医护,4,1,3,0-3,0-2
市场区,熟食&饮品,86,1,37,0-34,0-24
科教区,酒类,164,1,111,1-106,0-41
办公区,餐厨用品,53,1,43,0-39,0-31
住宅区,玩具,65,1,59,0-58,0-38
娱乐区,个人护理,200,1,119,0-114,0-77
住宅区,功能饮料,112,1,100,0-99,0-97
医院区,休闲素食,92,7,76,0-72,0-63
医院区,坚果炒货,91,20,72,0-70,0-54
其他,其它饮品,32,3,31,0-31,0-29
科教区,餐厨用品,37,6,23,4-20,0-15
娱乐区,粮油,101,1,47,0-44,0-30
住宅区,计生情趣,62,1,61,0-61,0-42
旅游区,家庭护理,26,5,16,2-16,1-8
市场区,饼干,159,3,134,0-134,0-98
交通枢纽,槟榔,34,10,34,0-34,0-33
其他,常温乳制品,92,5,70,0-67,0-63
商业区,坚果炒货,91,10,87,0-84,0-71
商业区,膨化食品,90,9,89,0-89,0-75
娱乐区,水,54,6,49,0-49,0-46
娱乐区,卫生用品,83,2,76,0-76,0-68
旅游区,生鲜&水果,1,1,1,1-1,1-1
住宅区,数码电器,48,1,46,0-45,0-32
商业区,针织品及鞋类,152,1,111,0-98,0-67
科教区,烘焙糕点,103,21,83,16-80,7-66
办公区,卫生用品,83,6,80,0-80,0-74
娱乐区,香烟,812,3,316,0-312,0-281
工业区,酒类,197,1,143,0-131,0-85
工业区,家庭杂品,134,1,95,0-91,0-65
旅游区,母婴产品,3,1,2,1-2,0-2
办公区,水,54,17,48,0-47,0-43
住宅区,休闲素食,92,1,89,0-87,0-85
市场区,宠物产品,21,1,16,0-15,0-12
旅游区,果干蜜饯,76,4,56,4-56,3-25
文教区,家庭杂品,136,4,93,0-77,0-67
娱乐区,雪糕,129,4,95,0-80,0-63
市场区,卫生用品,83,1,80,0-79,0-70
娱乐区,生活用纸,58,1,37,0-34,0-26
旅游区,粮油,16,1,8,0-8,0-2
住宅区,碳酸饮料,103,3,93,0-90,0-78
娱乐区,烘焙糕点,104,2,95,0-91,0-76
娱乐区,调味副食,229,1,162,0-157,0-87
医院区,碳酸饮料,103,24,74,0-72,0-66
办公区,个人护理,199,1,161,0-156,0-112
科教区,口腔护理,64,6,52,4-50,1-28
交通枢纽,啤酒／预调酒,122,4,93,0-91,0-77
商业区,糖果&巧克力,281,1,220,0-200,0-155
市场区,保鲜鲜食,35,1,24,0-24,0-15
交通枢纽,果干蜜饯,92,8,69,0-69,0-49
交通枢纽,玩具,61,1,33,0-33,0-22
文教区,膨化食品,89,21,89,0-89,0-85
娱乐区,餐厨用品,53,1,39,0-36,0-24
科教区,宠物产品,4,1,3,1-3,0-1
工业区,母婴产品,14,1,11,0-11,0-4
医院区,针织品及鞋类,147,1,84,0-80,0-56
旅游区,碳酸饮料,76,36,62,36-62,27-46
交通枢纽,数码电器,48,1,38,0-34,0-21
工业区,粮油,103,1,68,0-67,0-47
其他,烘焙糕点,103,9,95,0-95,0-76
科教区,常温乳制品,86,19,57,19-55,18-52
娱乐区,酒类,197,5,158,0-143,0-90
文教区,数码电器,48,2,44,0-44,0-30
工业区,冲调品,71,1,57,0-57,0-33
交通枢纽,生鲜&水果,4,1,4,0-4,0-2
住宅区,生活用纸,59,1,50,0-47,0-39
交通枢纽,家庭护理,111,1,70,0-63,0-41
办公区,冷冻食品,53,1,26,0-25,0-16
商业区,啤酒／预调酒,122,10,108,0-108,0-96
文教区,休闲肉脯,121,5,109,0-106,0-82
医院区,数码电器,48,1,38,0-35,0-23
医院区,饼干,159,10,127,0-123,0-89
办公区,膨化食品,89,8,88,0-88,0-69
交通枢纽,休闲肉脯,121,13,102,0-99,0-72
其他,餐厨用品,52,1,38,0-37,0-21
医院区,个人护理,193,11,101,0-97,0-66
工业区,休闲素食,92,6,92,0-92,0-74
住宅区,槟榔,34,5,34,0-34,0-34
娱乐区,口腔护理,78,1,57,0-54,0-38
住宅区,糖果&巧克力,282,3,257,0-253,0-208
娱乐区,碳酸饮料,103,5,81,0-77,0-76
医院区,休闲肉脯,121,1,93,0-85,0-62
住宅区,调味副食,229,2,219,0-216,0-164
科教区,果汁,61,17,48,17-45,16-42
市场区,个人护理,198,1,144,0-140,0-91
商业区,方便食品,170,2,151,0-145,0-131
商业区,冷冻食品,53,1,25,0-24,0-19
市场区,文具用品,113,1,72,0-58,0-45
科教区,茶饮品,84,37,80,37-80,23-78
交通枢纽,其它饮品,32,4,31,0-31,0-28
工业区,功能饮料,112,25,102,0-101,0-93
商业区,功能饮料,112,3,105,0-104,0-100
旅游区,茶饮品,79,52,73,52-73,46-61
科教区,调味副食,157,12,93,10-89,1-51
医院区,槟榔,34,10,33,0-33,0-32
科教区,文具用品,74,5,59,0-58,0-40
住宅区,茶饮品,86,4,84,0-84,0-80
工业区,保鲜鲜食,35,1,27,0-27,0-16
市场区,调味副食,229,6,196,0-192,0-139
市场区,烘焙糕点,104,8,90,0-87,0-68
工业区,针织品及鞋类,149,1,97,0-93,0-56
工业区,膨化食品,89,4,89,0-88,0-77
工业区,碳酸饮料,104,10,80,0-80,0-76
其他,生活用纸,58,2,38,0-37,0-33
市场区,家庭护理,111,2,93,0-92,0-62
交通枢纽,熟食&饮品,83,1,65,0-65,0-27
科教区,碳酸饮料,99,2,64,2-64,1-56
文教区,水,54,11,46,0-46,0-44
娱乐区,家庭护理,111,1,85,0-80,0-57
办公区,母婴产品,14,1,8,0-7,0-3
医院区,保鲜鲜食,35,1,18,0-16,0-10
住宅区,保鲜鲜食,35,1,32,0-32,0-23
娱乐区,文具用品,110,1,68,0-61,0-33
市场区,冷冻食品,53,1,32,0-32,0-25
文教区,熟食&饮品,87,1,63,0-63,0-30
文教区,冲调品,71,2,66,0-58,0-43
住宅区,宠物产品,21,1,21,0-21,0-11
住宅区,水,54,2,51,0-50,0-47
文教区,冷藏品,76,1,73,0-73,0-71
住宅区,冲调品,71,1,66,0-64,0-42
住宅区,方便食品,171,7,165,0-165,0-159
旅游区,保鲜鲜食,18,6,14,6-12,2-6
旅游区,熟食&饮品,41,41,41,41-41,19-19
科教区,休闲素食,88,35,81,35-81,18-59
交通枢纽,香烟,709,1,286,0-269,0-239
交通枢纽,口腔护理,76,1,46,0-44,0-31
其他,啤酒／预调酒,122,1,96,0-96,0-88
商业区,常温乳制品,92,4,88,0-87,0-82
科教区,坚果炒货,91,43,84,41-82,10-56
娱乐区,膨化食品,89,10,86,0-86,0-84
商业区,卫生用品,83,3,79,0-79,0-74
娱乐区,坚果炒货,91,15,86,0-84,0-68
办公区,果干蜜饯,92,3,84,0-83,0-57
市场区,槟榔,34,7,34,0-34,0-33
其他,个人护理,201,2,141,0-141,0-69
医院区,餐厨用品,53,1,38,0-35,0-25
科教区,其它饮品,32,9,30,9-29,7-25
办公区,口腔护理,78,1,64,0-62,0-52
娱乐区,功能饮料,112,18,95,0-90,0-81
办公区,碳酸饮料,103,24,78,0-75,0-74
交通枢纽,个人护理,187,1,96,0-91,0-48
医院区,文具用品,112,1,77,0-76,0-44
医院区,计生情趣,62,1,56,0-53,0-35
旅游区,其它饮品,24,6,19,6-19,6-14
其他,雪糕,127,2,98,0-98,0-76
工业区,啤酒／预调酒,122,1,102,0-99,0-93
娱乐区,保鲜鲜食,35,1,27,0-26,0-11
娱乐区,果干蜜饯,92,2,68,0-67,0-45
办公区,坚果炒货,91,11,86,0-84,0-75
工业区,香烟,1009,2,327,0-315,0-285
文教区,计生情趣,62,1,51,0-50,0-33
其他,文具用品,111,1,78,0-72,0-39
文教区,果汁,62,1,57,0-56,0-53
娱乐区,方便食品,170,3,149,0-138,0-125
其他,饼干,159,8,136,0-136,0-91
医院区,糖果&巧克力,277,26,210,0-201,0-160
住宅区,饼干,161,2,148,0-147,0-130
办公区,冲调品,71,1,62,0-55,0-31
工业区,果干蜜饯,92,1,86,0-84,0-62
文教区,糖果&巧克力,280,41,242,0-236,0-180
办公区,粮油,103,1,76,0-74,0-61
市场区,生鲜&水果,4,1,4,0-4,0-4
市场区,休闲肉脯,121,8,101,0-100,0-77
市场区,数码电器,48,1,40,0-37,0-25
交通枢纽,糖果&巧克力,281,15,190,0-178,0-148
办公区,玩具,63,1,38,0-31,0-23
商业区,保鲜鲜食,35,1,32,0-25,0-19
其他,定量小包装,265,8,231,0-231,0-218
商业区,酒类,197,4,169,0-151,0-90
科教区,饼干,154,49,134,41-127,11-93
市场区,茶饮品,84,13,83,0-83,0-80
办公区,糖果&巧克力,282,36,210,0-203,0-139
其他,坚果炒货,91,13,87,0-87,0-69
文教区,口腔护理,78,4,60,0-59,0-48
旅游区,口腔护理,33,6,24,5-24,0-10
其他,膨化食品,89,17,88,0-88,0-80
市场区,坚果炒货,91,13,84,0-83,0-71
其他,碳酸饮料,103,7,72,0-72,0-67
商业区,烘焙糕点,104,1,94,0-92,0-69
市场区,休闲素食,92,1,82,0-79,0-73
旅游区,水,35,19,33,19-31,16-23
工业区,餐厨用品,53,1,43,0-41,0-28
商业区,雪糕,128,2,97,0-91,0-83
市场区,药品&医护,6,1,3,0-3,0-3
住宅区,酒类,197,1,159,0-153,0-99
商业区,定量小包装,266,3,252,0-245,0-218
医院区,冷藏品,76,1,71,0-71,0-64
商业区,调味副食,229,1,156,0-156,0-103
其他,家庭杂品,127,1,78,0-77,0-62
交通枢纽,水,54,9,43,0-43,0-41
医院区,冲调品,71,3,53,0-45,0-35
办公区,文具用品,115,1,82,0-81,0-49
商业区,槟榔,34,2,34,0-34,0-33
市场区,功能饮料,112,4,107,0-106,0-99
娱乐区,母婴产品,14,1,7,0-7,0-4
办公区,其它饮品,32,4,31,0-30,0-29
娱乐区,果汁,62,7,53,0-53,0-52
科教区,啤酒／预调酒,112,37,85,26-77,10-62
商业区,数码电器,48,1,42,0-42,0-30
市场区,针织品及鞋类,151,1,88,0-79,0-45
医院区,酒类,196,3,118,0-106,0-65
交通枢纽,方便食品,169,17,146,0-140,0-115
市场区,膨化食品,89,19,88,0-88,0-77
其他,休闲素食,92,6,78,0-77,0-64
办公区,计生情趣,62,1,56,0-54,0-35
工业区,卫生用品,83,1,80,0-80,0-70
办公区,家庭杂品,130,3,91,0-83,0-56
医院区,茶饮品,84,36,82,0-82,0-77
商业区,香烟,1068,1,325,0-311,0-286
科教区,定量小包装,260,54,216,52-212,39-173
其他,计生情趣,62,1,56,0-55,0-34
市场区,定量小包装,266,7,238,0-237,0-200
工业区,水,54,10,48,0-47,0-45
交通枢纽,饼干,154,21,132,0-128,0-98
其他,生鲜&水果,4,1,4,0-4,0-3
医院区,家庭护理,111,2,77,0-70,0-47
娱乐区,冷冻食品,53,1,22,0-21,0-15
医院区,母婴产品,14,1,9,0-9,0-7
文教区,家庭护理,111,5,91,0-90,0-66
交通枢纽,果汁,62,5,53,0-53,0-49
商业区,玩具,63,1,53,0-53,0-30
市场区,生活用纸,58,2,46,0-44,0-32
商业区,宠物产品,21,1,21,0-20,0-12
市场区,常温乳制品,92,2,78,0-76,0-69
商业区,冷藏品,76,1,75,0-75,0-71
工业区,其它饮品,32,4,32,0-32,0-30
其他,酒类,196,1,112,0-112,0-79
商业区,母婴产品,14,1,6,0-5,0-4
商业区,计生情趣,62,1,60,0-60,0-38
科教区,熟食&饮品,60,1,41,1-37,0-25
住宅区,针织品及鞋类,158,1,115,0-112,0-52
交通枢纽,坚果炒货,91,13,81,0-76,0-67
文教区,碳酸饮料,103,1,86,0-86,0-85
其他,口腔护理,78,2,56,0-53,0-38
文教区,药品&医护,7,1,4,0-3,0-3
住宅区,家庭杂品,136,1,109,0-100,0-78
其他,保鲜鲜食,35,1,27,0-27,0-17
科教区,卫生用品,78,23,74,20-74,10-58
交通枢纽,碳酸饮料,103,15,75,0-73,0-68
交通枢纽,休闲素食,92,8,80,0-79,0-64
医院区,功能饮料,112,38,90,0-85,0-74
科教区,冷藏品,76,27,70,24-69,9-61
办公区,常温乳制品,92,20,73,0-72,0-69
商业区,文具用品,114,1,70,0-70,0-35
交通枢纽,家庭杂品,117,1,66,0-58,0-42
办公区,调味副食,227,1,177,0-167,0-137
商业区,家庭护理,111,1,90,0-85,0-65
医院区,家庭杂品,123,2,80,0-78,0-57
办公区,槟榔,34,8,34,0-34,0-32
文教区,玩具,63,1,49,0-34,0-24
旅游区,坚果炒货,78,13,52,13-52,12-38
办公区,雪糕,128,14,100,0-90,0-64
住宅区,粮油,104,1,93,0-92,0-87
工业区,文具用品,112,1,86,0-79,0-51
办公区,烘焙糕点,104,21,95,0-91,0-80
文教区,功能饮料,112,18,101,0-100,0-93
交通枢纽,针织品及鞋类,139,1,83,0-72,0-37
工业区,口腔护理,78,1,69,0-67,0-54
旅游区,果汁,50,24,45,24-45,22-34
文教区,常温乳制品,92,19,86,0-86,0-79
医院区,定量小包装,266,37,230,0-224,0-183
旅游区,调味副食,64,3,41,1-41,0-21
科教区,家庭护理,98,10,81,9-77,0-37
商业区,家庭杂品,137,1,103,0-85,0-79
办公区,休闲素食,92,3,87,0-84,0-75
市场区,母婴产品,14,1,10,0-10,0-5
旅游区,计生情趣,37,5,32,5-23,0-8
工业区,冷冻食品,53,1,24,0-23,0-20
娱乐区,冲调品,71,1,50,0-43,0-25
住宅区,个人护理,202,1,160,0-148,0-111
市场区,雪糕,128,7,105,0-101,0-88
旅游区,餐厨用品,16,1,11,1-11,0-3
科教区,个人护理,141,12,117,7-101,2-48
科教区,数码电器,44,2,33,1-27,0-17
其他,槟榔,34,1,34,0-34,0-34
住宅区,雪糕,128,1,118,0-115,0-104
医院区,其它饮品,32,5,29,0-27,0-25
工业区,方便食品,170,6,162,0-160,0-132
娱乐区,啤酒／预调酒,122,5,112,0-110,0-89
旅游区,数码电器,31,2,20,2-20,1-8
交通枢纽,定量小包装,267,20,240,0-234,0-213
办公区,冷藏品,76,1,75,0-75,0-72
交通枢纽,常温乳制品,92,12,71,0-66,0-59
文教区,生活用纸,58,4,50,0-49,0-31
科教区,雪糕,102,21,58,19-55,6-46
住宅区,生鲜&水果,4,1,4,0-4,0-4
住宅区,母婴产品,14,1,13,0-13,0-6
工业区,药品&医护,7,1,4,0-4,0-3
娱乐区,休闲素食,92,5,75,0-75,0-60
住宅区,烘焙糕点,104,1,97,0-95,0-84
娱乐区,宠物产品,21,1,21,0-21,0-11
住宅区,家庭护理,111,1,103,0-95,0-86
文教区,定量小包装,266,59,254,0-254,0-222
住宅区,餐厨用品,53,1,50,0-49,0-42
市场区,果汁,62,4,56,0-56,0-52
市场区,计生情趣,62,1,57,0-55,0-34
科教区,计生情趣,50,10,44,8-44,1-21
住宅区,文具用品,123,1,105,0-98,0-69
娱乐区,定量小包装,266,14,237,0-224,0-204
医院区,膨化食品,89,14,80,0-79,0-70
娱乐区,饼干,156,19,130,0-126,0-110
工业区,计生情趣,62,1,54,0-51,0-35
娱乐区,生鲜&水果,4,1,4,0-4,0-3
医院区,玩具,61,1,41,0-39,0-19
旅游区,功能饮料,75,38,58,38-58,35-47
市场区,口腔护理,78,1,66,0-66,0-55
办公区,定量小包装,266,29,266,0-263,0-247
旅游区,冷冻食品,6,6,6,6-6,2-2
旅游区,家庭杂品,41,5,25,5-25,1-10
住宅区,膨化食品,90,1,89,0-89,0-82
医院区,果干蜜饯,92,2,75,0-74,0-42
文教区,针织品及鞋类,149,1,86,0-74,0-56
科教区,香烟,281,8,188,7-180,5-160
市场区,冷藏品,76,1,74,0-74,0-66
住宅区,药品&医护,7,1,4,0-4,0-4
住宅区,果干蜜饯,92,1,87,0-83,0-60
科教区,冲调品,64,9,49,8-47,4-24
办公区,生活用纸,57,2,42,0-41,0-31
科教区,方便食品,164,43,144,39-140,25-117
商业区,其它饮品,32,3,31,0-31,0-30
交通枢纽,冷冻食品,48,1,15,0-14,0-9
市场区,酒类,197,5,135,0-127,0-84
娱乐区,槟榔,34,2,34,0-34,0-33
办公区,生鲜&水果,4,1,3,0-3,0-3
旅游区,药品&医护,2,1,1,1-1,1-1
旅游区,啤酒／预调酒,85,41,75,41-75,15-58
住宅区,坚果炒货,91,6,88,0-87,0-75
市场区,香烟,893,6,297,0-277,0-248
工业区,糖果&巧克力,283,19,239,0-230,0-149
住宅区,冷冻食品,53,1,40,0-37,0-24
文教区,母婴产品,14,1,10,0-10,0-3
商业区,冲调品,71,1,55,0-52,0-35
文教区,个人护理,197,7,134,0-129,0-83
娱乐区,家庭杂品,130,1,79,0-75,0-52
旅游区,生活用纸,31,6,24,6-24,4-16
交通枢纽,母婴产品,12,1,6,0-6,0-2
交通枢纽,餐厨用品,53,1,29,0-27,0-18
医院区,雪糕,126,10,85,0-77,0-61
办公区,功能饮料,112,30,95,0-90,0-85
办公区,针织品及鞋类,150,1,89,0-79,0-40
商业区,水,54,6,47,0-45,0-44
医院区,果汁,62,18,51,0-51,0-46
科教区,糖果&巧克力,257,28,141,26-124,23-86
交通枢纽,雪糕,127,4,85,0-79,0-70
办公区,药品&医护,7,1,3,0-3,0-3
科教区,生活用纸,49,3,38,3-38,1-24
工业区,玩具,63,1,50,0-47,0-27
旅游区,定量小包装,207,41,155,41-155,41-95
交通枢纽,计生情趣,62,3,57,0-55,0-35
医院区,调味副食,225,14,149,0-143,0-95
其他,休闲肉脯,121,8,97,0-93,0-77
商业区,粮油,104,1,55,0-55,0-33
其他,茶饮品,84,11,83,0-83,0-78
文教区,烘焙糕点,104,12,93,0-88,0-69
其他,调味副食,227,1,164,0-164,0-116
办公区,方便食品,170,21,161,0-158,0-150
医院区,烘焙糕点,104,11,90,0-87,0-75
商业区,休闲素食,92,5,85,0-84,0-70
其他,卫生用品,83,5,76,0-76,0-68
文教区,果干蜜饯,92,3,83,0-78,0-57
医院区,粮油,101,1,54,0-47,0-24
其他,宠物产品,20,1,14,0-14,0-9
娱乐区,茶饮品,84,1,84,0-84,0-79
工业区,家庭护理,111,1,92,0-87,0-63
其他,水,54,9,45,0-45,0-43
旅游区,玩具,50,2,39,2-39,2-19
住宅区,啤酒／预调酒,122,3,114,0-114,0-104
工业区,果汁,62,14,55,0-55,0-52
娱乐区,常温乳制品,92,4,74,0-71,0-63
文教区,冷冻食品,53,1,19,0-18,0-14
办公区,茶饮品,84,33,82,0-82,0-79
文教区,粮油,103,1,86,0-86,0-52
其他,熟食&饮品,87,1,54,0-54,0-38
旅游区,休闲素食,66,7,49,7-49,7-28
交通枢纽,粮油,101,1,43,0-38,0-18
旅游区,针织品及鞋类,43,5,18,5-18,1-10
市场区,冲调品,71,1,59,0-56,0-39
商业区,休闲肉脯,121,5,105,0-100,0-75
交通枢纽,宠物产品,13,1,8,0-8,0-3
市场区,玩具,64,1,47,0-43,0-27
旅游区,方便食品,127,42,108,42-108,18-72
娱乐区,其它饮品,32,1,30,0-30,0-29
交通枢纽,保鲜鲜食,33,1,30,0-30,0-17
交通枢纽,卫生用品,83,2,77,0-77,0-65
科教区,膨化食品,89,6,85,5-83,5-64
市场区,碳酸饮料,103,11,79,0-78,0-73
工业区,数码电器,48,1,43,0-41,0-29
科教区,家庭杂品,102,12,62,12-50,4-29
科教区,冷冻食品,16,1,11,1-10,0-4
商业区,茶饮品,84,16,84,0-84,0-81
工业区,生鲜&水果,4,1,4,0-4,0-3
市场区,家庭杂品,127,2,85,0-82,0-60
医院区,宠物产品,21,1,16,0-16,0-10
住宅区,香烟,1394,1,343,0-322,0-300
其他,针织品及鞋类,165,1,131,0-131,0-41
市场区,啤酒／预调酒,122,6,102,0-99,0-95
工业区,槟榔,34,2,34,0-34,0-33
医院区,口腔护理,78,8,58,0-56,0-42
其他,粮油,104,1,65,0-65,0-30
工业区,生活用纸,58,2,49,0-49,0-35
商业区,餐厨用品,53,1,41,0-38,0-26
其他,功能饮料,112,8,98,0-98,0-84
工业区,休闲肉脯,121,4,112,0-110,0-94
工业区,常温乳制品,92,9,84,0-84,0-79
工业区,茶饮品,86,31,83,0-82,0-79
科教区,药品&医护,3,1,2,1-2,0-1
文教区,雪糕,128,1,95,0-91,0-80
娱乐区,药品&医护,7,1,4,0-4,0-3
旅游区,糖果&巧克力,206,58,153,58-153,34-72
商业区,熟食&饮品,87,1,71,0-68,0-48
工业区,宠物产品,21,1,21,0-21,0-14
文教区,茶饮品,85,18,84,0-84,0-81
交通枢纽,茶饮品,84,22,82,0-82,0-80
旅游区,槟榔,21,16,21,16-21,7-17
工业区,冷藏品,76,1,74,0-74,0-71
文教区,生鲜&水果,4,1,4,0-4,0-2
交通枢纽,调味副食,218,1,138,0-126,0-77
娱乐区,针织品及鞋类,150,1,91,0-88,0-53
市场区,糖果&巧克力,280,4,229,0-218,0-163
其他,果汁,59,5,52,0-52,0-51
文教区,饼干,155,19,144,0-140,0-114
住宅区,常温乳制品,92,2,84,0-84,0-81
办公区,保鲜鲜食,35,1,29,0-28,0-26
医院区,生鲜&水果,4,1,4,0-4,0-2
住宅区,定量小包装,270,1,252,0-252,0-234
其他,家庭护理,111,1,80,0-75,0-50
交通枢纽,文具用品,92,1,41,0-39,0-23
文教区,调味副食,222,4,203,0-202,0-158
旅游区,常温乳制品,59,27,43,27-42,23-36
其他,数码电器,48,1,41,0-35,0-24
科教区,槟榔,33,11,32,8-32,0-30
住宅区,其它饮品,32,2,32,0-32,0-32
办公区,酒类,197,1,146,0-140,0-74
交通枢纽,烘焙糕点,104,7,100,0-96,0-73
文教区,餐厨用品,53,1,39,0-38,0-27
工业区,熟食&饮品,87,1,66,0-63,0-35
市场区,其它饮品,32,1,31,0-31,0-30
文教区,文具用品,124,1,100,0-80,0-65
其他,母婴产品,14,1,9,0-8,0-4
其他,玩具,63,1,54,0-54,0-34
医院区,方便食品,168,25,141,0-137,0-123
工业区,雪糕,128,4,99,0-89,0-75
科教区,针织品及鞋类,99,11,59,9-48,3-23
文教区,方便食品,171,23,152,0-152,0-138
工业区,烘焙糕点,104,14,99,0-96,0-89
其他,冷冻食品,53,1,25,0-23,0-18
工业区,调味副食,229,1,175,0-171,0-126
文教区,宠物产品,18,1,16,0-15,0-9
商业区,个人护理,201,1,160,0-158,0-123
文教区,香烟,802,1,262,0-251,0-228
娱乐区,糖果&巧克力,280,21,236,0-214,0-165
交通枢纽,酒类,196,2,126,0-121,0-74
科教区,粮油,54,2,27,2-26,1-13
科教区,果干蜜饯,88,12,76,10-75,7-38
交通枢纽,冷藏品,76,1,74,0-74,0-69
其他,果干蜜饯,91,3,82,0-71,0-46
交通枢纽,冲调品,71,1,45,0-41,0-22
住宅区,卫生用品,83,1,82,0-81,0-73
工业区,饼干,159,2,144,0-144,0-121
文教区,保鲜鲜食,35,1,30,0-27,0-16
商业区,饼干,173,1,144,0-137,0-100
文教区,酒类,197,1,116,0-112,0-70
住宅区,熟食&饮品,87,1,71,0-71,0-64
住宅区,冷藏品,76,1,76,0-76,0-74
旅游区,冷藏品,66,31,64,31-63,18-39
办公区,家庭护理,110,1,94,0-90,0-64
